model,dataset,topic_id,doc_id,doc_text_short
CTM,Wiki,3,23376,"היא להקת אינדי אמריקאית המנגנת בעיקר אינדי פופ ורוק קל. הלהקה נוסדה בשנת בבלינגהאם, וושינגטון. חברי הלהקה הם בן גיבארד סולן , כריס וואלה קלידים וגיטרה חשמלית , ניק הארמר גיטרה בס , ג ייסון מקגר תופים . שם הלהקה נלקח משיר שבוצע על ידי הלהקה בונזו דוג דו דה בסרט של הביטלס. הלהקה התפרסמה במיוחד כאשר הופיעה בתוכנית הטלוויזיה . , ושיריה שולבו בפסקול בעקבות בקשתו של אדם ברודי, שחקן ראשי בסדרה ומעריץ גדו"
CTM,Wiki,3,17288,"נושאי המגבעת הוא אלבום אוסף של להקת נושאי המגבעת, שיצא בשנת , כארבע שנים לאחר שהלהקה התפרקה. את האלבום הוציא מוטי שהרבני, שהיה מנהל הלהקה בזמן פעילותה. באלבום נכללו שירים מתקופות שונות של הלהקה, ובעיקר שירים שיצאו קודם לכן רק בקלטות. שלושה מהשירים באלבום הופיעו גם באלבום מי רצח את אגנתה פאלסקוג, אך בגרסה שונה, ושבעה שירים נלקחו מהקלטת הראשונה שהוציאה הלהקה בשנת . שני השירים הפותחים את האלבום, כמו "
CTM,Wiki,4,9353,"שמאל הראשון במסכת ברכות בתלמוד הבבלי מַסֶּכֶת בְּרָכוֹת היא המסכת הראשונה מבין המסכתות שבששת סדרי המשנה, ובפרט המסכת הראשונה שבסדר זרעים, ובעקבות כך גם הראשונה בתלמוד. המסכת עוסקת בדיני קריאת שמע, תפילה, ברכות הנהנין, זימון, ברכת המזון, ברכות הראייה ושאר הברכות. אורכה מסכת ברכות מכילה פרקים, ובהם משניות. בתלמוד הבבלי המסכת מכילה דפים ובתלמוד הירושלמי היא מכילה דפים . במסכת ברכות יש כ , מילים, כארב"
CTM,Wiki,4,12383,"שמאל הראשון במסכת סוכה מַסֶּכֶת סֻכָּה היא המסכת השישית בסדר מועד, במסכת זו מובאים ההלכות העוסקות במצוות הנוהגות בחג סוכות, כגון מצוות סוכה, וארבעת המינים. בתלמוד בבלי בדפוס וילנא יש למסכת זו דפים ובכתב יד מינכן יש למסכת זו עמודים. המסכת מונה משניות. תוכן המסכת כאמור המסכת עוסקת במצוות הנוהגות בחג הסוכות שני הפרקים הראשונים במסכת עוסקים בדיני עשיית הסוכה ומצוות הישיבה בה. בפרק השלישי דנים בהלכות א"
CTM,Wiki,4,12390,"עמוד השער של מסכת סוטה, הוצאת האלמנה והאחים ראם, וילנה מַסֶּכֶת סוֹטָה או שׂוֹטָה היא המסכת החמישית בסדר נשים, שהוא הסדר השלישי במשנה. בתלמוד הירושלמי מסכת זו היא האחרונה מסדר נשים. המסכת עוסקת בדיני הסוטה והשקייתה, בדינים שנאמרו ביום בו סילקו את שומר בית המדרש ובדינים הנאמרים בכל לשון והנאמרים בלשון הקודש דווקא. במסכת זו תשעה פרקים ובתלמוד הבבלי יש במסכת זו דפים. בקרב חסידי חב ד נהוג ללמוד מסכת ז"
CTM,Wiki,5,18495,"במדעי המחשב, בעיית הסכום החלקי היא בעיה חשובה בתורת הסיבוכיות ובקריפטוגרפיה. הבעיה היא כזו בהינתן קבוצה של מספרים שלמים, האם קיימת תת קבוצה לא ריקה שלה שסכום איבריה הוא אפס? לדוגמה, בהינתן הקבוצה , , , , כקלט לבעיה, התשובה תהיה חיובית, והקבוצה שסכומה אפס תהיה , , . בעיה זו היא שלמה. בעיה שקולה לבעיה זו היא כדלקמן בהינתן קבוצת מספרים שלמים , ומספר נוסף , האם קיימת תת קבוצה לא ריקה של שסכום איבריה ה"
CTM,Wiki,5,12812,"גאומטרית של משפט הערך הממוצע של קושי קיים משיק למסילה שמקביל לישר המחבר את עם . בחשבון אינפיניטסימלי, משפט הערך הממוצע של קושי הוא הכללה של משפט הערך הממוצע של לגראנז עבור זוג פונקציות. למשפט מספר שימושים מועילים, דוגמת הוכחת כלל לופיטל. ניסוח פורמלי תהיינה ו פונקציות רציפות בקטע וגזירות בקטע . נניח שהנגזרת של לכל . אזי קיימת נקודה כך שמתקיים . הערה מכך שהנגזרת אינה מתאפסת בקטע ומקונטרה פוזיטיב למ"
CTM,Wiki,5,18471,"במתמטיקה, שדה הוא סגור אלגברית אם לכל פולינום לא קבוע עם מקדמים מ קיים שורש ב . דוגמאות שדה המספרים הממשיים הוא לא סגור אלגברית. הפולינום , למשל, הוא פולינום עם מקדמים ממשיים ו שלא קיים לו שום שורש ממשי לא קיים מספר ממשי כך ש . בצורה דומה ניתן לראות שכל תת שדה של שדה המספרים הממשיים ובפרט, למשל, שדה המספרים הרציונליים הוא אינו סגור אלגברית. כל שדה סופי הוא לא סגור אלגברית. אם הם איברי השדה , אז הפ"
CTM,Wiki,6,24210,"אֵבוֹלוּצְיָה תַּרְבּוּתִית הוא מושג בעל פירושים שונים בהתאם לתחומים שחוקרים את התפתחות התרבות והחברה האנושית במגוון כלים, גישות ודגשים. באופן היסטורי נחשב תחום זה לנחלת האנתרופולוגיה, תחום העוסק בחקר האדם ותרבותו כתחום מחקר עצמאי שנוצר במאה ה , עם קשר חזק לתחום הסוציולוגיה העוסק בחברה האנושית. לשני תחומי מחקר אלה, המשתייכים למדעי החברה, הצטרפו גם חוקרי האבולוציה האנושית מתחום מדעי החיים, שהביאו ע"
CTM,Wiki,6,16995,"שמאל החופש, של הפסל תומאס קרופורד חופש הוא מושג מופשט אשר מתאר, באופן כללי, היעדר אילוצים, הכרחה או כפייה, ואפשרויות פעולה לא מוגבלות. שאלת החופש נוגעת להיבטים רבים בחיי האדם והחברה. סוגיית החופש נידונה בהקשרים רבים בפילוסופיה, בענפים שונים של מדעי החברה ובמיוחד במדעי המדינה, בפסיכולוגיה, בסוציולוגיה בכלכלה ובאנתרופולוגיה בחקיקה אזרחית ובקרימינולוגיה, בדת, במדעי המוח, ובמדעי הקוגניציה. מושג החופש "
CTM,Wiki,6,2029,"חברתית עוסקת בין היתר בקשרים בין אנשים. פסיכולוגיה חברתית מאנגלית היא ענף מענפי הפסיכולוגיה, תחום מחקרי ויישומי, שבמסגרתו נחקרת השפעת הזולת נוכח או מדומיין על מחשבותיו, רגשותיו והתנהגותו של הפרט. פסיכולוגיה חברתית עוסקת בהתנהגות אנושית שהיא תוצאה של הקשר בין מצבים נפשיים למצבים חברתיים. היא חוקרת את התנאים החברתיים שבהם נוצרות מחשבות, רגשות והתנהגויות, וכיצד משתנים אלה משפיעים על אינטראקציות חברתי"
CTM,Wiki,7,1692,"ראש ממשלת ישראל הוא ראש הרשות המבצעת בשיטת הממשל בישראל. החוק הישראלי מקנה לממשלה שאותה מנהל ראש הממשלה את סמכויות השלטון הביצועיות, על אף שנשיא המדינה מוגדר בחוק כראש המדינה. לראש ממשלת ישראל מתמנה אחד מחברי הכנסת, שנשיא המדינה הטיל עליו להרכיב ממשלה, אחר התייעצות עם נציגי הסיעות, ושהצליח לקבל את אישורה של הכנסת להרכב ממשלתו. תהליך בחירתו של ראש הממשלה, וכן סמכויותיו וסמכות ממשלתו נקבעו בחוק יסוד"
CTM,Wiki,7,473,"ממשלת ישראל היא הרשות המבצעת של מדינת ישראל. בראשה עומד ראש הממשלה, וחברים בה שרים, אשר בידי ראש הממשלה הסמכות למנותם באישור הכנסת ולפטרם. בידי ממשלת ישראל הסמכות ברוב ההיבטים הממלכתיים והציבוריים, והיא מייצגת את מדינת ישראל כלפי חוץ. מאז , מוסדרות בחירתה וכהונתה של הממשלה באמצעות חוק יסוד הממשלה. השרים נושאים באחריות כלפי כל החלטות הממשלה ופעולותיה, והם אחראים להן, גם אם הן מנוגדות לדעתם. במשך שנ"
CTM,Wiki,7,156,"שיטת הממשל בישראל היא דמוקרטיה פרלמנטרית. בראש המדינה עומד נשיא המדינה, אך זה אינו מחזיק בסמכויות רבות ותפקידו הוא סמלי בעיקרו. ממשלת ישראל היא הרשות המבצעת, בראשה עומד ראש הממשלה, אשר ממונה על ידי הנשיא שבוחר לתפקיד את האדם בעל הסיכויים הטובים ביותר להרכיב ממשלה מבין חברי הכנסת המכהנים. הממשלה מורכבת על ידי ראש הממשלה, וחייבת בתמיכת הכנסת. המסמך הרשמי הראשון של מוסד שלטוני במדינת ישראל המשתמש במו"
CTM,Wiki,8,8099,"תא דם נמצא בעיקר בדם אבל נוצר בתהליך שנקרא המטופוייזה המתרחש במח העצם ורק בצורתו הבוגרת מגיע לדם. הסוגים העיקריים של תאי הדם כוללים תאי דם אדומים תאים שאיבדו את הגרעין בתהליך התמיינותם, יעודם העיקרי הוא הובלת חמצן והם מהווים מכלל התאים בדם. תאי דם לבנים יעודם העיקרי הוא מלחמה בפתוגנים מיקרואורגניזמים מעוררי מחלות , כחלק ממערכת החיסון. מהווים . מכלל התאים בדם. טסיות הדם גופים חסרי גרעין, הקטנים ביו"
CTM,Wiki,8,3479,"דם הוא נוזל המכיל פלזמה החלק הנוזלי השקוף ותאים גופיפים שונים, תאי דם, הורמונים ועוד. במקומות רבים יש התייחסות לדם כאל רקמה, כגון רקמת הדם היות שהדם, כמו כל רקמה, בנוי מתאים בעלי תפקוד זהה. ההבדל העיקרי בין רקמת הדם לרקמות אחרות היא העובדה שתאים אלו אינם מחוברים זה לזה אלא רק סמוכים לתאים אחרים מאותו סוג במהלך שיוטם בכלי הדם. הדם הוא אחד החומרים החשובים ביותר בגוף. תפקידי הדם הדם הוא אמצעי הולכה. "
CTM,Wiki,8,8567,"היפרגליקמיה בעברית יתר סוכר הדם היא רמה גבוהה של גלוקוז סוכר בדם המופיעה לרוב אצל אנשים החולים בסוכרת. המצב ההופכי, רמה נמוכה של גלוקוז בדם, קרוי היפוגליקמיה. מקור המילה היפרגליקמיה מחיבור המילים היפר עודף, גליק גלוקוז, סוכר והמיה מהמילה היוונית המוס שפירושה דם. פיזיולוגיה במצב תקין, אצל אדם בריא, לאחר אכילת מזון כלשהו המכיל סוכר, מופרש לדם ההורמון אינסולין. האינסולין מאפשר לסוכר להיקלט בתאים. כך "
CTM,Wiki,9,896,יונקי הביב שם מדעי נקראים בעברית גם חיות הביב או בעלי ביב היא סדרה המשתייכת לקבוצת קדם יונקים. מיון סוג ללא מקור קריוריקטס נכחד סוג נכחד סוג ? נכחד משפחה נכחדה משפחה נכחדה משפחה נכחדה. בה הסטרופודון תת סדרה משפחה ברווזניים סוג ומין יחיד ברווזן סוג אובדורודון נכחד סוג מונוטרימטום נכחד תת סדרה משפחה קיפודניים סוג ומין יחיד קיפודן נמלים אוסטרלי סוג קיפודן חרטומני סוג מגליבגוויליה נכחד מאפיינים המינים
CTM,Wiki,9,9025,"ברבור בקינו. ברווז עצים אֲוָזָאִים שם מדעי היא סדרה של עופות מים בעל סדרת דמויי תרנגול. בסדרת האווזאים מינים, מתוכם מינים המצויים כחולפים ויציבים בישראל. מיון סוג ללא מקור נכחד סוג ללא מקור נכחד תת סדרה סוג ללא מקור נכחד משפחה קמיקיים תת סדרה על משפחה משפחה אווזים עורבניים על משפחה משפחה נכחדה משפחה נכחדה משפחה ברווזיים בעבר היו שייכים לסדרה גם משפחת הגסטורניסיים והדרומורניטיים שנכחדו ועברו לסדרה "
CTM,Wiki,9,9611,"קרקרה מפוספסת שמאל קרקרה צפונית שמאל בז אוסטרלי בתעופה שמאל בז חום הדורס הקטן בעולם בזון גמדי בזייר והבז שלו נתלה ברצועה שעל כתפו בזיים שם מדעי היא משפחת עופות דורסים והמשפחה היחידה בסדרת הבזאים ובה כ־ מינים, מרביתם בסוג בז. בעבר הייתה שייכת לסדרת דורסי היום. מיון המשפחה רוב הפרטים ממשפחת הבזיים החיים בעולם משתייכים לסוג בז, סוג זה כולל גם את מספר המינים הגדול ביותר מבין הבזיים. משפחת הבזיים מחולק"
CTM,Wiki,10,19774,"הרב מאיר יהושע מגנס נולד בשנת הוא ר מ בישיבת מרכז הרב, מתלמידיו הקרובים של הרב אברהם שפירא. כיהן כרב שיכונים א ב ג של הפועל המזרחי בבני ברק. מייסדה ורבה של אולפנית בני עקיבא בתל אביב, מייסד והרב של מדרשת בת ציון. מרבני תורת הארץ הטובה. ביוגרפיה נולד בארצות הברית לאביו הרב משה מרדכי, במקורו מחסידי אלכסנדר בעיירה ז עלוב בפולין, ונקרא על שם סבו, אבי אמו, הרב מאיר יהושע רוזנברג, בנו של הרב יהודה יודל "
CTM,Wiki,10,16099,"הרב יוסף קלנר נולד בג בניסן ה תשט ו במרץ הוא ר מ במכינה הקדם צבאית בני דוד בעלי, ומלמד במקומות נוספים. עוסק בהוראת כתבי הרב אברהם יצחק הכהן קוק ובנו הרב צבי יהודה קוק. חיבר, בין היתר, את מילון הראי ה . ביוגרפיה למד בישיבת נתיב מאיר ובישיבת מרכז הרב, שבה היה מקורב לרב צבי יהודה קוק ושם גם למד אצל הרב צבי טאו. מלמד בנתיבות אמונה, בבית המדרש לבוגרי צבא ובמכינה קדם צבאית בני דוד בעלי, בישיבת מעלה אליה"
CTM,Wiki,10,9779,"הרב יוסף חיים מבגדאד מכונה לעיתים הרי ח הטוב או על שם ספרו הבן איש חי אב ה תקצ ה, י ג באלול ה תרס ט, באוגוסט היה מקובל, דרשן, מנהיג וראש קהילה, מחבר ספרים ואחד הפוסקים הבולטים מתוך אנשי הרוח של יהדות המזרח. ביוגרפיה בבל ציור המבוסס על תמונותיהם. הרב יוסף חיים מופיע שישי משמאל.מימין לשמאל הרב עזרא כהן, הרב יצחק מג לד, הרב משה שמאש, הרב אברהם הלל, הרב דוד פאפו, הרב ששון שמוחה, הרב אליהו עובדיה, הרב "
CTM,Wiki,11,20600,"שָׁמִיר הוא קיבוץ הנמצא באצבע הגליל. הוא שוכן על גבעה בשיפולים המזרחיים של עמק החולה, כ ק מ מזרחית לעיר קריית שמונה. הקיבוץ שייך לתנועת הקיבוץ הארצי השומר הצעיר שהיא כיום חלק מהתנועה הקיבוצית ונמצא בתחום השיפוט של מועצה אזורית הגליל העליון. היסטוריה הגרעין הקיבוץ נוצר מאיחוד של שני גרעיני חלוציים גרעין אנשי המחתרת של חברי השומר הצעיר מרומניה וגרעין שמיר בפולין, שעברו הכשרה בעין שמר ובשריד. ראשוני "
CTM,Wiki,11,2489,"בֵּית קָמָה הוא קיבוץ מזרם הקיבוץ הארצי במועצה אזורית בני שמעון בנגב הצפוני שעלה על הקרקע בשנת על ידי עולים מהונגריה ופולין. הקיבוץ נמצא כ . ק מ צפונית לרהט וכ ק מ צפונית לבאר שבע. היסטוריה קיבוץ בית קמה עלה על הקרקע בתאריך באפריל במסגרת הקיבוץ הארצי ונקרא תחילה בשם ספיח . המייסדים עלו מהונגריה במסגרת תנועת השומר הצעיר וישבו, לפני עלייתם על הקרקע, במושבה הדר כיום חלק מהוד השרון . בטקס העלייה על הק"
CTM,Wiki,11,6338,"עֵין הַחוֹרֵשׁ הוא קיבוץ של תנועת הקיבוץ הארצי השומר הצעיר במחוז המרכז בישראל בין הערים נתניה וחדרה השייך למועצה אזורית עמק חפר. לפי אתר הקיבוץ, מתגוררים בקיבוץ נפש ושטחו כ , דונם. היסטוריה קיבוץ עין החורש נוסד בשנת במושבה חדרה, על ידי בוגרי השומר הצעיר מפולין, ובהמשך הצטרפו אליו בוגרי השומר הצעיר מבלגיה. הוא היה הראשון לקיבוצי השומר הצעיר מהעלייה החמישית. חברי הקיבוץ הקימו משק עזר חקלאיו גילו יזמ"
CTM,Wiki,12,11818,"הפועל פתח תקווה היא קבוצת כדורגל ישראלית מהעיר פתח תקווה, המשחקת בליגת העל. צבעי הקבוצה הם כחול ולבן ומגרשה הביתי הוא אצטדיון המושבה. אגודת הספורט של הפועל פתח תקווה נוסדה בשנת ומועדון הכדורגל הוקם ב . היסטורית, הפועל פתח תקווה הוא אחד ממועדוני הכדורגל המובילים בארץ. בעונת זכתה הקבוצה לראשונה בתולדותיה באליפות המדינה ובין השנים זכתה הקבוצה בחמש אליפויות ברצף, שיא בכדורגל הישראלי שטרם נשבר. בנוסף ה"
CTM,Wiki,12,23738,"נבחרת כדורגל הנשים של גרמניה היא נבחרת כדורגל הנשים הלאומית של גרמניה. הנבחרת מנוהלת על ידי התאחדות הכדורגל הגרמנית, ומייצגת את גרמניה במשחקי ידידות נגד נבחרות לאומית אחרות, וכן בטורנירים בינלאומיים כמו אליפות אירופה בכדורגל נשים, גביע העולם בכדורגל נשים, ליגת האומות של אופ א לנשים ובמשחקים האולימפיים. הנבחרת הגרמנית היא הנבחרת המדורגת שנייה במידת הצלחתה ההיסטורית אחרי נבחרת ארצות הברית. הנבחרת זכ"
CTM,Wiki,12,11344,"מועדון הכדורגל ליברפול באנגלית . . הוא מועדון כדורגל אנגלי מהעיר ליברפול, המשחק בפרמייר ליג, הליגה הבכירה של הכדורגל באנגליה. ליברפול היא הקבוצה האנגלית המצליחה ביותר במאה ה־ , אחת הקבוצות המצליחות ביותר בתולדות הכדורגל האנגלי, ומדורגת במקום השלישי באירופה מבחינת הישגיה עם שש זכיות בגביע אירופה לאלופות, שלוש זכיות בגביע אופ א וארבע זכיות בסופר קאפ האירופי. ליברפול מחזיקה בשיא הזכיות בגביע הליגה הא"
CTM,Wiki,13,18650,"שלמה וינר נולד ב בספטמבר הוא משורר עברי, מורה ומתמטיקאי ואיש חינוך מתמטי. ביוגרפיה נולד בירושלים בשנת תרצ ח . את שלושת תאריו במתמטיקה למד וקיבל מהאוניברסיטה העברית בירושלים. את הדוקטורט עשה בהנחיית פרופסור עזריאל לוי. סיים לימודי המשך באוניברסיטת ברקלי, חזר ללמד מתמטיקה באוניברסיטה העברית בירושלים, וחקר בה את תחום הוראת המתמטיקה במשך למעלה משלושים שנה, וכיהן פעמיים כראש החוג להוראת המתמטיקה בתקופה"
CTM,Wiki,13,7279,"נילי כהן נולדה ב היא פרופסור אמריטה למשפטים באוניברסיטת תל אביב, רקטור האוניברסיטה לשעבר, חברת האקדמיה הלאומית הישראלית למדעים משנת ונשיאת האקדמיה בשנים . כלת פרס ישראל לחקר המשפט לשנת ה תשע ז. ביוגרפיה נולדה בכפר סבא כנילי גרבלסקי. למדה בתיכון עירוני ד בתל אביב. השתחררה מצה ל בדרגת סגן. למדה במחזור הראשון למשפטים באוניברסיטת תל אביב. בשנת סיימה לימודי תואר ראשון באוניברסיטה בהצטיינות. קריירה בתקו"
CTM,Wiki,13,11266,"מריו מיקולינסר נולד ב הוא פרופסור וחוקר ישראלי בתחום הפסיכולוגיה, ששימש דיקן בית הספר לפסיכולוגיה ובין השנים עד המשנה לנשיא לעניינים אקדמיים של המרכז הבינתחומי . זוכה פרס א.מ.ת לשנת . כיום מריו ראש התכנית לתואר שלישי בפסיכולוגיה באוניברסיטת רייכמן. מיקולינסר ביוגרפיה מיקולינסר נולד בסנטה פה שבארגנטינה בשנת . עלה לישראל בגיל . בשנת סיים לימודים לתואר דוקטור בפסיכולוגיה באוניברסיטת בר אילן. כ שנים ל"
CTM,Wiki,14,14611,"ליגוריה באיטלקית הוא מחוז חוף בצפון מערב איטליה. המחוז גובל בצרפת במערב, במחוז פיימונטה בצפון ובאמיליה רומאניה ובטוסקנה במזרח. המחוז שוכן על חופיו של הים הליגורי, חלקו הצפוני של הים התיכון, ונחשב לעיקר שטחה של הריביירה האיטלקית . בירת המחוז היא העיר ג נובה. גאוגרפיה ואקלים המרכיבים הבולטים בגאוגרפיה של ליגוריה הם חוף הים הליגורי, הרי האפנינים שבצפון מזרח המחוז והרי האלפים שבצפון מערב המחוז. גובה ק"
CTM,Wiki,14,6436,"חצי האי ערב בערבית הוא חצי האי הגדול ביותר בעולם אשר נמצא בדרום מערב אסיה, בצומת שבין אפריקה לאסיה, מזרחית לאריתריאה וצפונית לסומליה, מדרום לישראל ולירדן, ודרום מערבית לאיראן. חופי חצי האי ערב הם הים האדום מדרום מערב ומפרץ אילת הידוע גם בשם מפרץ עקבה בשפות שונות , הים הערבי מדרום מזרח ומפרץ עומאן והמפרץ הפרסי מצפון מזרח. חלוקה מדינית בחצי האי ערב נמצאות המדינות קטר כמו כן, כחלק מהאזור הגאוגרפי של "
CTM,Wiki,14,1903,"גבולותיו של הים התיכון מבט על הים התיכון בין גדות מצר גיברלטר אשר מחבר בין הים התיכון לבין האוקיינוס האטלנטי הים התיכון הוא ים בין יבשתי הנמצא בין היבשות אסיה, אפריקה ואירופה. הים מחובר לאוקיינוס האטלנטי במצר גיברלטר במערב, לים השחור במצרי הדרדנלים והבוספורוס במזרח ולים סוף באמצעות תעלת סואץ בדרום מזרח. שטחו של הים מהווה משטח הימים והאוקיינוסים בעולם. הים התיכון מהווה יעד תיירותי לכשליש מכלל התייר"
CTM,Wiki,15,877,"פיקסלים בית העירייה הישן בכיכר השוק בלייפציג פיקסלים בניין האופרה של לייפציג לָיְיפְּצִיג בגרמנית בסורבית בגרמנית נהגה לָיְיפְּצִיך בעבר נקראה גם ליפסיא היא העיר הגדולה ביותר במדינת סקסוניה שבגרמניה והעיר ה בגודלה בגרמניה. נכון לשנת מונה לייפציג כ , תושבים. שם העיר נגזר מהמילה הסלבית שפירושה עץ תרזה. היסטוריה בלייפציג התגוררו בתחילת שנת כחצי מיליון תושבים. ב עברה העיר את קו ה , והפכה ל עיר גדולה ר"
CTM,Wiki,15,12243,"אולבני באנגלית היא בירת מדינת ניו יורק בארצות הברית. אולבני שוכנת ק מ צפונית לעיר ניו יורק מדרום למפגש הנהרות מוהוק והדסון. אולבני היא גם עיר המחוז של מחוז אולבני. העיר היא חלק ממטרופולין אולבני סקנקטדי טרוי. אף על פי שאולבני היא בירת מדינת ניו יורק, העיר הגדולה ביותר במדינה היא ניו יורק. היסטוריה האירופאי הראשון שהגיע לאזור היה הנרי הדסון בשנת , כאשר חקר עבור חברת הודו המזרחית ההולנדית. אולבני יד"
